  0.000000000  0.000000000  0.000000000      30
       1       1 -175.832666365 -185.227578647
       1       2 -175.832666365 -185.227578647
       1       3  -74.637431403  -78.364346464
       1       4  -74.637431403  -78.364346464
       1       5  -73.124442014  -77.333960174
       1       6  -73.124442014  -77.333960174
       1       7  -72.572353743  -76.882258523
       1       8  -72.572353743  -76.882258523
       1       9  -25.117464861  -28.989643214
       1      10  -25.117464861  -28.989643214
       1      11  -16.715496227  -17.644026185
       1      12  -16.715496227  -17.644026185
       1      13  -14.013466454  -12.940444091
       1      14  -14.013466454  -12.940444091
       1      15  -13.977941077  -12.894595522
       1      16  -13.977941077  -12.894595522
       1      17  -13.413602002  -13.718462566
       1      18  -13.413602002  -13.718462566
       1      19  -12.505442807  -11.367186485
       1      20  -12.505442807  -11.367186485
       1      21  -12.365546613  -11.247030595
       1      22  -12.365546613  -11.247030595
       1      23   -9.837791759   -9.263946281
       1      24   -9.837791759   -9.263946281
       1      25   -9.560991910   -8.972868130
       1      26   -9.560991910   -8.972868130
       1      27   -8.949766237   -5.615364885
       1      28   -8.949766237   -5.615364885
       1      29   -1.480452035    1.135331814
       1      30   -1.480452035    1.135331814
