   n          Emf           Eo            X         SX-X           CH          Sig          Vxc         Eqp0         Eqp1
  38    -1.430909    -1.430909   -16.053709    10.515674   -14.647513   -13.642484   -10.969148    -4.104245    -4.104245
  39    -1.425228    -1.425228   -16.050005    10.513341   -14.646042   -13.641413   -10.968998    -4.097642    -4.097642
  40    -1.425228    -1.425228   -16.050005    10.513341   -14.645753   -13.641413   -10.968998    -4.097642    -4.097642
  41    -1.425219    -1.425219   -16.049912    10.513132   -14.643731   -13.641413   -10.968998    -4.097633    -4.097633
  42    -1.425219    -1.425219   -16.049912    10.513132   -14.648297   -13.641413   -10.968998    -4.097633    -4.097633
  43    -1.425173    -1.425173   -16.049593    10.513007   -14.644543   -13.640988   -10.968955    -4.097206    -4.097206
  44    -1.425173    -1.425173   -16.049593    10.513007   -14.646664   -13.640988   -10.968955    -4.097206    -4.097206
  45    -1.425164    -1.425164   -16.049382    10.512840   -14.646863   -13.640988   -10.968955    -4.097197    -4.097197
  46    -1.425164    -1.425164   -16.049382    10.512840   -14.644221   -13.640988   -10.968955    -4.097197    -4.097197
  47     0.744933     0.744933   -14.372672     9.167043   -14.196887   -13.280155   -10.888873    -1.646349    -1.646349
  48     0.744933     0.744933   -14.372672     9.167043   -14.197161   -13.280155   -10.888873    -1.646349    -1.646349
  49     0.744933     0.744933   -14.371735     9.166362   -14.196739   -13.280155   -10.888873    -1.646349    -1.646349
  50     0.744933     0.744933   -14.371735     9.166362   -14.196582   -13.280155   -10.888873    -1.646349    -1.646349
  51     0.744933     0.744933   -14.371893     9.166478   -14.196517   -13.280155   -10.888873    -1.646349    -1.646349
  52     0.744933     0.744933   -14.371893     9.166478   -14.196909   -13.280155   -10.888873    -1.646349    -1.646349
  53     0.744933     0.744933   -14.372247     9.166602   -14.197925   -13.280155   -10.888873    -1.646349    -1.646349
  54     0.744933     0.744933   -14.372247     9.166602   -14.196474   -13.280155   -10.888873    -1.646349    -1.646349
  55     2.371642     2.371642   -12.013374     7.470298   -13.612672   -12.331917    -9.971082     0.010808     0.010808
  56     2.371642     2.371642   -12.013374     7.470298   -13.616349   -12.331917    -9.971082     0.010808     0.010808
  57     2.371647     2.371647   -12.013049     7.470163   -13.616933   -12.331917    -9.971082     0.010812     0.010812
  58     2.371647     2.371647   -12.013049     7.470163   -13.611490   -12.331917    -9.971082     0.010812     0.010812
  59     2.371654     2.371654   -12.013175     7.470216   -13.615585   -12.331917    -9.971074     0.010811     0.010811
  60     2.371654     2.371654   -12.013175     7.470216   -13.612892   -12.331917    -9.971074     0.010811     0.010811
  61     2.371658     2.371658   -12.012746     7.469905   -13.609657   -12.331917    -9.971074     0.010815     0.010815
  62     2.371658     2.371658   -12.012746     7.469905   -13.618111   -12.331917    -9.971074     0.010815     0.010815
  63     2.384717     2.384717   -11.995749     7.456833   -13.605627   -12.326882    -9.968106     0.025941     0.025941
  64     2.384717     2.384717   -11.995749     7.456833   -13.617107   -12.326882    -9.968106     0.025941     0.025941
  65     2.384721     2.384721   -11.995435     7.456702   -13.614841   -12.326882    -9.968106     0.025945     0.025945
  66     2.384721     2.384721   -11.995435     7.456702   -13.607363   -12.326882    -9.968106     0.025945     0.025945
  67     2.384728     2.384728   -11.995516     7.456728   -13.612875   -12.326882    -9.968098     0.025945     0.025945
  68     2.384728     2.384728   -11.995516     7.456728   -13.609275   -12.326882    -9.968098     0.025945     0.025945
  69     2.384733     2.384733   -11.995090     7.456415   -13.611454   -12.326882    -9.968098     0.025949     0.025949
  70     2.384733     2.384733   -11.995090     7.456415   -13.610016   -12.326882    -9.968098     0.025949     0.025949
  71     2.478426     2.478426   -11.968457     7.423133   -13.627493   -12.356693   -10.043619     0.165352     0.165352
  72     2.478426     2.478426   -11.968457     7.423133   -13.629779   -12.356693   -10.043619     0.165352     0.165352
  73     2.478427     2.478427   -11.968482     7.423177   -13.627792   -12.356693   -10.043618     0.165353     0.165353
  74     2.478427     2.478427   -11.968482     7.423177   -13.628004   -12.356693   -10.043618     0.165353     0.165353
  75     2.478427     2.478427   -11.968491     7.423182   -13.627998   -12.356693   -10.043618     0.165353     0.165353
  76     2.478427     2.478427   -11.968491     7.423182   -13.627858   -12.356693   -10.043618     0.165353     0.165353
  77     2.478428     2.478428   -11.967857     7.422853   -13.628164   -12.356693   -10.043618     0.165353     0.165353
  78     2.478428     2.478428   -11.967857     7.422853   -13.626552   -12.356693   -10.043618     0.165353     0.165353
  79     2.709603     2.709603   -13.124604     7.938117   -13.837474   -13.345218   -11.182130     0.546515     0.546515
  80     2.709603     2.709603   -13.124604     7.938117   -13.858388   -13.345218   -11.182130     0.546515     0.546515
  81     2.709606     2.709606   -13.124639     7.938174   -13.847627   -13.345218   -11.182130     0.546518     0.546518
  82     2.709606     2.709606   -13.124639     7.938174   -13.849169   -13.345218   -11.182130     0.546518     0.546518
  83     2.709606     2.709606   -13.124646     7.938182   -13.849862   -13.345218   -11.182130     0.546518     0.546518
  84     2.709606     2.709606   -13.124646     7.938182   -13.846918   -13.345218   -11.182130     0.546518     0.546518
  85     2.709607     2.709607   -13.123965     7.937674   -13.848671   -13.345218   -11.182130     0.546519     0.546519
  86     2.709607     2.709607   -13.123965     7.937674   -13.845566   -13.345218   -11.182130     0.546519     0.546519
  87     3.379533     3.379533   -12.665276     7.825195   -13.558959   -12.821503   -10.577817     1.135847     1.135847
  88     3.379533     3.379533   -12.665276     7.825195   -13.563527   -12.821503   -10.577817     1.135847     1.135847
  89     3.379534     3.379534   -12.645163     7.802827   -13.559921   -12.821503   -10.577814     1.135845     1.135845
  90     3.379534     3.379534   -12.645163     7.802827   -13.560538   -12.821503   -10.577814     1.135845     1.135845
  91     3.379534     3.379534   -12.650246     7.808438   -13.561209   -12.821503   -10.577815     1.135845     1.135845
  92     3.379534     3.379534   -12.650246     7.808438   -13.559877   -12.821503   -10.577815     1.135845     1.135845
  93     3.379534     3.379534   -12.666996     7.827288   -13.560933   -12.821503   -10.577817     1.135848     1.135848
  94     3.379534     3.379534   -12.666996     7.827288   -13.561085   -12.821503   -10.577817     1.135848     1.135848
  95     3.379536     3.379536   -12.432058     7.568543   -13.543185   -12.821503   -10.577791     1.135824     1.135824
  96     3.379536     3.379536   -12.432058     7.568543   -13.546303   -12.821503   -10.577791     1.135824     1.135824
  97     3.379537     3.379537   -12.428954     7.565102   -13.544475   -12.821503   -10.577791     1.135824     1.135824
  98     3.379537     3.379537   -12.428954     7.565102   -13.544642   -12.821503   -10.577791     1.135824     1.135824
  99     4.338307     4.338307   -12.050998     7.217888   -13.383944   -12.841337   -10.710971     2.207940     2.207940
 100     4.338307     4.338307   -12.050998     7.217888   -13.382371   -12.841337   -10.710971     2.207940     2.207940
 101     4.338308     4.338308   -12.052374     7.218813   -13.384380   -12.841337   -10.710970     2.207940     2.207940
 102     4.338308     4.338308   -12.052374     7.218812   -13.382656   -12.841337   -10.710970     2.207940     2.207940
 103     4.338311     4.338311   -12.051017     7.217975   -13.382874   -12.841337   -10.710971     2.207945     2.207945
 104     4.338311     4.338311   -12.051017     7.217975   -13.382510   -12.841337   -10.710971     2.207945     2.207945
 105     4.338314     4.338314   -12.051748     7.218281   -13.382236   -12.841337   -10.710970     2.207946     2.207946
 106     4.338314     4.338314   -12.051748     7.218281   -13.385502   -12.841337   -10.710970     2.207946     2.207946
 107     4.346992     4.346992   -12.037313     7.208931   -13.380237   -12.835616   -10.706898     2.218275     2.218275
 108     4.346992     4.346992   -12.037313     7.208931   -13.381112   -12.835616   -10.706898     2.218275     2.218275
 109     4.346993     4.346993   -12.038259     7.209552   -13.381290   -12.835616   -10.706898     2.218275     2.218275
 110     4.346993     4.346993   -12.038259     7.209552   -13.380520   -12.835616   -10.706898     2.218275     2.218275
 111     4.346997     4.346997   -12.037197     7.208916   -13.381220   -12.835616   -10.706899     2.218280     2.218280
 112     4.346997     4.346997   -12.037197     7.208916   -13.379127   -12.835616   -10.706899     2.218280     2.218280
 113     4.346999     4.346999   -12.037628     7.209006   -13.380287   -12.835616   -10.706898     2.218281     2.218281
 114     4.346999     4.346999   -12.037628     7.209005   -13.382551   -12.835616   -10.706898     2.218281     2.218281
 115     4.906709     4.906709   -12.017602     7.019787   -13.221914   -13.069334   -10.945433     2.782808     2.782808
 116     4.906709     4.906709   -12.017602     7.019787   -13.230858   -13.069334   -10.945433     2.782808     2.782808
 117     4.906710     4.906710   -12.016021     7.018863   -13.183493   -13.069334   -10.945433     2.782809     2.782809
 118     4.906710     4.906710   -12.016021     7.018863   -13.264682   -13.069334   -10.945433     2.782809     2.782809
 119     4.906711     4.906711   -12.016798     7.019351   -13.221898   -13.069334   -10.945433     2.782810     2.782810
 120     4.906711     4.906711   -12.016798     7.019351   -13.229219   -13.069334   -10.945433     2.782810     2.782810
 121     4.906711     4.906711   -12.016803     7.019358   -13.221995   -13.069334   -10.945433     2.782810     2.782810
 122     4.906711     4.906711   -12.016803     7.019358   -13.229102   -13.069334   -10.945433     2.782810     2.782810
 123     6.208772     6.208772   -11.981381     6.752682   -12.943178   -13.374853   -11.302366     4.136285     4.136285
 124     6.208772     6.208772   -11.981381     6.752682   -12.943481   -13.374853   -11.302366     4.136285     4.136285
 125     6.257638     6.257638   -12.080439     6.830585   -12.847069   -13.368876   -11.299952     4.188714     4.188714
 126     6.257638     6.257638   -12.080439     6.830585   -12.847361   -13.368876   -11.299952     4.188714     4.188714
 127     6.257643     6.257643   -11.824889     6.627962   -13.012563   -13.368876   -11.299973     4.188739     4.188739
 128     6.257643     6.257643   -11.824889     6.627963   -13.012307   -13.368876   -11.299973     4.188739     4.188739
 129     6.941261     6.941261    -5.724244     3.591023   -11.801493    -9.660921    -8.982540     6.262881     6.262881
 130     6.941261     6.941261    -5.724244     3.591023   -11.801411    -9.660921    -8.982540     6.262881     6.262881
 131     6.941268     6.941268    -5.808084     3.635621   -11.946733    -9.660921    -8.982493     6.262841     6.262841
 132     6.941268     6.941268    -5.808084     3.635621   -11.947221    -9.660921    -8.982493     6.262841     6.262841
 133     6.941268     6.941268    -5.808092     3.635625   -11.947774    -9.660921    -8.982493     6.262841     6.262841
 134     6.941268     6.941268    -5.808092     3.635625   -11.946131    -9.660921    -8.982493     6.262841     6.262841
 135     6.941320     6.941320    -5.725135     3.591407   -11.803588    -9.661035    -8.982461     6.262746     6.262746
 136     6.941320     6.941320    -5.725135     3.591407   -11.803708    -9.661035    -8.982461     6.262746     6.262746
 137     6.941326     6.941326    -5.806406     3.634733   -11.951201    -9.661035    -8.982415     6.262707     6.262707
 138     6.941326     6.941326    -5.806406     3.634733   -11.939633    -9.661035    -8.982415     6.262707     6.262707
 139     6.941327     6.941327    -5.807444     3.635116   -11.952145    -9.661035    -8.982414     6.262706     6.262706
 140     6.941327     6.941327    -5.807444     3.635116   -11.941128    -9.661035    -8.982414     6.262706     6.262706
 141     7.359636     7.359636    -6.112000     3.825991   -12.083943    -9.925892    -9.368924     6.802668     6.802668
 142     7.359636     7.359636    -6.112000     3.825991   -12.088342    -9.925892    -9.368924     6.802668     6.802668
 143     7.359640     7.359640    -6.112186     3.826266   -12.085807    -9.925892    -9.368924     6.802672     6.802672
 144     7.359640     7.359640    -6.112186     3.826266   -12.086320    -9.925892    -9.368924     6.802672     6.802672
 145     7.359640     7.359640    -6.112181     3.826261   -12.085666    -9.925892    -9.368925     6.802672     6.802672
 146     7.359640     7.359640    -6.112181     3.826261   -12.086404    -9.925892    -9.368925     6.802672     6.802672
 147     7.359641     7.359641    -6.111417     3.825765   -12.086787    -9.925892    -9.368926     6.802675     6.802675
 148     7.359641     7.359641    -6.111417     3.825765   -12.083565    -9.925892    -9.368926     6.802675     6.802675
 149     8.681517     8.681517    -5.728585     3.434550   -11.708498   -10.005068    -9.577186     8.253635     8.253635
 150     8.681517     8.681517    -5.728585     3.434550   -11.708490   -10.005068    -9.577186     8.253635     8.253635
 151     8.681517     8.681517    -5.728585     3.434549   -11.708494   -10.005068    -9.577186     8.253635     8.253635
 152     8.681517     8.681517    -5.728585     3.434549   -11.708509   -10.005068    -9.577186     8.253635     8.253635
 153     8.681518     8.681518    -5.728965     3.434828   -11.709397   -10.005068    -9.577186     8.253636     8.253636
 154     8.681518     8.681518    -5.728965     3.434828   -11.709409   -10.005068    -9.577186     8.253636     8.253636
 155     8.681518     8.681518    -5.729028     3.434823   -11.709128   -10.005068    -9.577185     8.253636     8.253636
 156     8.681518     8.681518    -5.729028     3.434823   -11.709216   -10.005068    -9.577185     8.253636     8.253636
 157     8.770783     8.770783    -6.376298     3.936107   -12.339854   -10.335829   -10.028643     8.463598     8.463598
 158     8.770783     8.770783    -6.376298     3.936106   -12.339848   -10.335829   -10.028643     8.463598     8.463598
 159     8.806131     8.806131    -6.382598     3.952532   -12.367613   -10.327970   -10.023626     8.501787     8.501787
 160     8.806131     8.806131    -6.382598     3.952532   -12.367586   -10.327970   -10.023626     8.501787     8.501787
 161     8.806137     8.806137    -6.310025     3.873068   -12.293700   -10.327970   -10.023580     8.501747     8.501747
 162     8.806137     8.806137    -6.310025     3.873068   -12.293661   -10.327970   -10.023580     8.501747     8.501747
 163     9.368562     9.368562    -4.981530     2.870266   -11.348361    -9.677918    -9.154920     8.845564     8.845564
 164     9.368562     9.368562    -4.981530     2.870266   -11.329717    -9.677918    -9.154920     8.845564     8.845564
 165     9.368562     9.368562    -4.981889     2.870433   -11.340139    -9.677918    -9.154920     8.845565     8.845565
 166     9.368562     9.368562    -4.981889     2.870433   -11.336684    -9.677918    -9.154920     8.845565     8.845565
 167     9.368563     9.368563    -4.981877     2.870425   -11.342252    -9.677918    -9.154920     8.845565     8.845565
 168     9.368563     9.368563    -4.981877     2.870425   -11.334573    -9.677918    -9.154920     8.845565     8.845565
 169     9.368565     9.368565    -4.982167     2.870684   -11.304278    -9.677918    -9.154919     8.845566     8.845566
 170     9.368565     9.368565    -4.982167     2.870684   -11.372983    -9.677918    -9.154919     8.845566     8.845566
 171     9.554728     9.554728    -6.304261     3.411164   -12.007269   -11.067717   -10.932257     9.419268     9.419268
 172     9.554728     9.554728    -6.304261     3.411164   -12.007980   -11.067717   -10.932257     9.419268     9.419268
 173    10.517130    10.517130    -5.624951     3.122949   -11.016308   -10.143229    -9.562042     9.935943     9.935943
 174    10.517130    10.517130    -5.624951     3.122949   -11.011040   -10.143229    -9.562042     9.935943     9.935943
 175    10.517134    10.517134    -5.624899     3.122809   -11.010331   -10.143229    -9.562041     9.935945     9.935945
 176    10.517134    10.517134    -5.624899     3.122809   -11.016242   -10.143229    -9.562041     9.935945     9.935945
 177    10.517140    10.517140    -5.624512     3.122576   -11.011301   -10.143229    -9.562004     9.935915     9.935915
 178    10.517140    10.517140    -5.624512     3.122576   -11.014346   -10.143229    -9.562004     9.935915     9.935915
 179    10.517144    10.517144    -5.625073     3.122960   -11.014714   -10.143229    -9.562003     9.935918     9.935918
 180    10.517144    10.517144    -5.625073     3.122960   -11.012106   -10.143229    -9.562003     9.935918     9.935918
 181    10.517266    10.517266    -5.621945     3.120554   -11.016203   -10.142450    -9.561584     9.936400     9.936400
 182    10.517266    10.517266    -5.621945     3.120554   -11.012136   -10.142450    -9.561584     9.936400     9.936400
 183    10.517270    10.517270    -5.621949     3.120444   -11.012406   -10.142450    -9.561583     9.936403     9.936403
 184    10.517270    10.517270    -5.621949     3.120445   -11.015170   -10.142450    -9.561583     9.936403     9.936403
 185    10.517276    10.517276    -5.621573     3.120230   -11.010808   -10.142450    -9.561547     9.936373     9.936373
 186    10.517276    10.517276    -5.621573     3.120230   -11.016019   -10.142450    -9.561547     9.936373     9.936373
 187    10.517280    10.517280    -5.622079     3.120570   -11.017420   -10.142450    -9.561546     9.936375     9.936375
 188    10.517280    10.517280    -5.622079     3.120570   -11.010289   -10.142450    -9.561546     9.936375     9.936375
 189    11.027591    11.027591    -5.450377     3.069355   -11.693558   -10.302690   -10.104091    10.828991    10.828991
 190    11.027591    11.027591    -5.450377     3.069355   -11.658128   -10.302690   -10.104091    10.828991    10.828991
 191    11.027591    11.027591    -5.450051     3.069071   -11.674288   -10.302690   -10.104091    10.828991    10.828991
 192    11.027591    11.027591    -5.450051     3.069071   -11.678981   -10.302690   -10.104091    10.828991    10.828991
 193    11.027591    11.027591    -5.449901     3.069161   -11.677334   -10.302690   -10.104091    10.828992    10.828992
 194    11.027591    11.027591    -5.449901     3.069161   -11.673913   -10.302690   -10.104091    10.828992    10.828992
 195    11.027591    11.027591    -5.449872     3.069139   -11.676433   -10.302690   -10.104091    10.828992    10.828992
 196    11.027591    11.027591    -5.449872     3.069139   -11.674798   -10.302690   -10.104091    10.828992    10.828992
 197    11.225476    11.225476    -5.251615     2.893517   -11.347053   -10.240950   -10.045261    11.029787    11.029787
 198    11.225476    11.225476    -5.251615     2.893517   -11.349851   -10.240950   -10.045261    11.029787    11.029787
 199    11.225479    11.225479    -5.251434     2.893452   -11.351280   -10.240950   -10.045261    11.029790    11.029790
 200    11.225479    11.225479    -5.251434     2.893453   -11.344895   -10.240950   -10.045261    11.029790    11.029790
 201    11.225574    11.225574    -5.251592     2.893477   -11.342665   -10.241011   -10.045150    11.029713    11.029713
 202    11.225574    11.225574    -5.251592     2.893477   -11.353075   -10.241011   -10.045150    11.029713    11.029713
 203    11.225577    11.225577    -5.251903     2.893695   -11.351878   -10.241011   -10.045150    11.029715    11.029715
 204    11.225577    11.225577    -5.251903     2.893695   -11.345096   -10.241011   -10.045150    11.029715    11.029715
 205    11.242156    11.242156    -5.239647     2.885388   -11.338282   -10.235450   -10.039671    11.046377    11.046377
 206    11.242156    11.242156    -5.239647     2.885388   -11.345825   -10.235450   -10.039671    11.046377    11.046377
 207    11.242159    11.242159    -5.239498     2.885353   -11.341207   -10.235450   -10.039670    11.046380    11.046380
 208    11.242159    11.242159    -5.239498     2.885353   -11.342420   -10.235450   -10.039670    11.046380    11.046380
 209    11.242253    11.242253    -5.239611     2.885342   -11.333507   -10.235441   -10.039559    11.046372    11.046372
 210    11.242253    11.242253    -5.239611     2.885342   -11.349358   -10.235441   -10.039559    11.046372    11.046372
 211    11.242256    11.242256    -5.239939     2.885572   -11.335240   -10.235441   -10.039559    11.046374    11.046374
 212    11.242256    11.242256    -5.239939     2.885572   -11.348972   -10.235441   -10.039559    11.046374    11.046374
 213    11.377451    11.377451    -6.071859     3.232627   -11.056206   -10.657687   -10.210031    10.929795    10.929795
 214    11.377451    11.377451    -6.071859     3.232627   -11.056111   -10.657687   -10.210031    10.929795    10.929795
 215    11.377452    11.377452    -6.071517     3.232282   -11.056086   -10.657687   -10.210031    10.929796    10.929796
 216    11.377452    11.377452    -6.071517     3.232282   -11.055996   -10.657687   -10.210031    10.929796    10.929796
 217    11.377452    11.377452    -6.071587     3.232334   -11.055967   -10.657687   -10.210030    10.929795    10.929795
 218    11.377452    11.377452    -6.071587     3.232334   -11.055940   -10.657687   -10.210030    10.929795    10.929795
 219    11.377453    11.377453    -6.071547     3.232376   -11.056733   -10.657687   -10.210030    10.929796    10.929796
 220    11.377453    11.377453    -6.071547     3.232376   -11.056858   -10.657687   -10.210030    10.929796    10.929796
 221    12.002380    12.002380    -5.934389     3.188909   -11.458791   -10.767719   -10.579541    11.814202    11.814202
 222    12.002380    12.002380    -5.934389     3.188909   -11.458463   -10.767719   -10.579541    11.814202    11.814202
 223    12.002380    12.002380    -5.933792     3.188499   -11.457432   -10.767719   -10.579540    11.814201    11.814201
 224    12.002380    12.002380    -5.933792     3.188499   -11.458733   -10.767719   -10.579540    11.814201    11.814201
 225    12.002385    12.002385    -5.934085     3.188758   -11.460073   -10.767719   -10.579542    11.814208    11.814208
 226    12.002385    12.002385    -5.934085     3.188758   -11.456995   -10.767719   -10.579542    11.814208    11.814208
 227    12.002386    12.002386    -5.934083     3.188648   -11.458385   -10.767719   -10.579540    11.814207    11.814207
 228    12.002386    12.002386    -5.934083     3.188648   -11.457478   -10.767719   -10.579540    11.814207    11.814207
 229    12.004903    12.004903    -5.946721     3.195082   -11.460753   -10.775846   -10.587332    11.816390    11.816390
 230    12.004903    12.004903    -5.946721     3.195082   -11.460111   -10.775846   -10.587332    11.816390    11.816390
 231    12.004903    12.004903    -5.946391     3.194973   -11.460439   -10.775846   -10.587332    11.816389    11.816389
 232    12.004903    12.004903    -5.946391     3.194973   -11.459316   -10.775846   -10.587332    11.816389    11.816389
 233    12.004909    12.004909    -5.946317     3.194822   -11.460791   -10.775846   -10.587334    11.816396    11.816396
 234    12.004909    12.004909    -5.946317     3.194822   -11.459373   -10.775846   -10.587334    11.816396    11.816396
 235    12.004909    12.004909    -5.946815     3.195272   -11.460135   -10.775846   -10.587332    11.816395    11.816395
 236    12.004909    12.004909    -5.946815     3.195272   -11.459783   -10.775846   -10.587332    11.816395    11.816395
 237    12.369498    12.369498    -4.702283     2.365909   -11.027196   -10.168323    -9.888856    12.090031    12.090031
 238    12.369498    12.369498    -4.702283     2.365909   -11.026951   -10.168323    -9.888856    12.090031    12.090031
 239    12.369500    12.369500    -4.702258     2.365853   -11.027763   -10.168323    -9.888856    12.090032    12.090032
 240    12.369500    12.369500    -4.702258     2.365853   -11.027948   -10.168323    -9.888856    12.090032    12.090032
 241    12.369500    12.369500    -4.702235     2.365845   -11.027960   -10.168323    -9.888855    12.090032    12.090032
 242    12.369500    12.369500    -4.702235     2.365845   -11.027984   -10.168323    -9.888855    12.090032    12.090032
 243    12.369501    12.369501    -4.702637     2.366081   -11.027088   -10.168323    -9.888855    12.090032    12.090032
 244    12.369501    12.369501    -4.702637     2.366081   -11.027494   -10.168323    -9.888855    12.090032    12.090032
 245    12.720313    12.720313    -4.760357     2.513648   -10.363323    -9.879114    -9.546158    12.387356    12.387356
 246    12.720313    12.720313    -4.760357     2.513648   -10.457766    -9.879114    -9.546158    12.387356    12.387356
 247    12.720313    12.720313    -4.760737     2.513942   -10.408537    -9.879114    -9.546157    12.387356    12.387356
 248    12.720313    12.720313    -4.760737     2.513942   -10.413081    -9.879114    -9.546157    12.387356    12.387356
 249    12.720313    12.720313    -4.760745     2.513945   -10.406913    -9.879114    -9.546157    12.387356    12.387356
 250    12.720313    12.720313    -4.760745     2.513945   -10.414700    -9.879114    -9.546157    12.387356    12.387356
 251    12.720315    12.720315    -4.761055     2.514172   -10.375737    -9.879114    -9.546157    12.387357    12.387357
 252    12.720315    12.720315    -4.761055     2.514172   -10.446569    -9.879114    -9.546157    12.387357    12.387357
 253    13.990202    13.990202    -4.573467     2.249629    -9.954380   -10.168495   -10.052902    13.874610    13.874610
 254    13.990202    13.990202    -4.573467     2.249629    -9.953539   -10.168495   -10.052902    13.874610    13.874610
 255    13.990223    13.990223    -4.569589     2.388724   -10.581798   -10.023331   -10.052789    14.019681    14.019681
