   n          Emf           Eo            X         SX-X           CH          Sig          Vxc         Eqp0         Eqp1
   1    -5.734914    -5.734914   -19.699055    13.255869   -15.039756   -14.393003   -10.465547    -9.662371    -9.662371
   2    -5.734914    -5.734914   -19.699055    13.255869   -15.039783   -14.393003   -10.465547    -9.662371    -9.662371
   3    -4.653716    -4.653716   -18.584126    12.487484   -15.026038   -14.075258   -10.557230    -8.171745    -8.171745
   4    -4.653716    -4.653716   -18.584126    12.487484   -15.020683   -14.075258   -10.557230    -8.171745    -8.171745
   5    -4.653708    -4.653708   -18.582521    12.486294   -15.022020   -14.075258   -10.557230    -8.171736    -8.171736
   6    -4.653708    -4.653708   -18.582521    12.486294   -15.022610   -14.075258   -10.557230    -8.171736    -8.171736
   7    -4.653708    -4.653708   -18.582512    12.486288   -15.022473   -14.075258   -10.557230    -8.171736    -8.171736
   8    -4.653708    -4.653708   -18.582512    12.486288   -15.022142   -14.075258   -10.557230    -8.171736    -8.171736
   9    -4.653695    -4.653695   -18.582674    12.486315   -15.023099   -14.075055   -10.557231    -8.171519    -8.171519
  10    -4.653695    -4.653695   -18.582674    12.486315   -15.021582   -14.075055   -10.557231    -8.171519    -8.171519
  11    -3.691857    -3.691857   -17.714593    11.824299   -14.957628   -13.909977   -10.690407    -6.911428    -6.911428
  12    -3.691857    -3.691857   -17.714593    11.824299   -14.954769   -13.909977   -10.690407    -6.911428    -6.911428
  13    -3.691856    -3.691856   -17.715600    11.824875   -14.956813   -13.909977   -10.690407    -6.911426    -6.911426
  14    -3.691856    -3.691856   -17.715600    11.824875   -14.956820   -13.909977   -10.690407    -6.911426    -6.911426
  15    -3.691856    -3.691856   -17.715626    11.824893   -14.956756   -13.909977   -10.690407    -6.911426    -6.911426
  16    -3.691856    -3.691856   -17.715626    11.824893   -14.956921   -13.909977   -10.690407    -6.911426    -6.911426
  17    -3.691853    -3.691853   -17.715059    11.824657   -14.955869   -13.909977   -10.690408    -6.911422    -6.911422
  18    -3.691853    -3.691853   -17.715059    11.824657   -14.955054   -13.909977   -10.690408    -6.911422    -6.911422
  19    -1.591634    -1.591634   -16.201083    10.706733   -14.576893   -13.570407   -10.846534    -4.315508    -4.315508
  20    -1.591634    -1.591634   -16.201083    10.706733   -14.577214   -13.570407   -10.846534    -4.315508    -4.315508
  21    -1.591634    -1.591634   -15.933925    10.425487   -14.729386   -13.570407   -10.846530    -4.315511    -4.315511
  22    -1.591634    -1.591634   -15.933925    10.425487   -14.730173   -13.570407   -10.846530    -4.315511    -4.315511
  23    -1.591634    -1.591634   -15.939563    10.431427   -14.726889   -13.570407   -10.846530    -4.315511    -4.315511
  24    -1.591634    -1.591634   -15.939563    10.431427   -14.726187   -13.570407   -10.846530    -4.315511    -4.315511
  25    -1.591582    -1.591582   -16.095816    10.596074   -14.643817   -13.570096   -10.846488    -4.315191    -4.315191
  26    -1.591582    -1.591582   -16.095816    10.596074   -14.629853   -13.570096   -10.846488    -4.315191    -4.315191
  27    -1.591581    -1.591581   -15.933247    10.425079   -14.734200   -13.570096   -10.846485    -4.315193    -4.315193
  28    -1.591581    -1.591581   -15.933247    10.425079   -14.723414   -13.570096   -10.846485    -4.315193    -4.315193
  29    -1.591578    -1.591578   -16.044837    10.542092   -14.664667   -13.570096   -10.846487    -4.315188    -4.315188
  30    -1.591578    -1.591578   -16.044837    10.542092   -14.668661   -13.570096   -10.846487    -4.315188    -4.315188
  31    -1.430974    -1.430974   -16.054332    10.516170   -14.645461   -13.642922   -10.969191    -4.104704    -4.104704
  32    -1.430974    -1.430974   -16.054332    10.516171   -14.648070   -13.642922   -10.969191    -4.104704    -4.104704
  33    -1.430965    -1.430965   -16.054246    10.515968   -14.645234   -13.642922   -10.969191    -4.104695    -4.104695
  34    -1.430965    -1.430965   -16.054246    10.515968   -14.648521   -13.642922   -10.969191    -4.104695    -4.104695
  35    -1.430918    -1.430918   -16.053935    10.515851   -14.645622   -13.642484   -10.969148    -4.104254    -4.104254
  36    -1.430918    -1.430918   -16.053935    10.515851   -14.647318   -13.642484   -10.969148    -4.104254    -4.104254
  37    -1.430909    -1.430909   -16.053709    10.515674   -14.645261   -13.642484   -10.969148    -4.104245    -4.104245
