   n          Emf           Eo            X         SX-X           CH          Sig          Vxc         Eqp0         Eqp1
  59     6.209577     6.209577   -12.425886     6.231981   -12.136652   -14.005413   -11.302663     3.506827     3.506827
  60     6.209577     6.209577   -12.425886     6.231985   -12.130982   -14.005413   -11.302663     3.506827     3.506827
  61     6.258424     6.258424   -12.299440     6.168621   -12.202257   -13.943020   -11.300000     3.615405     3.615405
  62     6.258424     6.258424   -12.299440     6.168621   -12.202965   -13.943020   -11.300000     3.615405     3.615405
  63     6.258466     6.258466   -12.505551     6.257755   -12.054140   -14.057068   -11.300518     3.501916     3.501916
  64     6.258466     6.258466   -12.505551     6.257748   -12.044305   -14.057068   -11.300518     3.501916     3.501916
  65     6.941702     6.941702    -5.065957     3.090323   -11.029450    -9.176204    -8.981544     6.747041     6.747041
  66     6.941702     6.941702    -5.065957     3.090323   -11.029606    -9.176204    -8.981544     6.747041     6.747041
  67     6.941725     6.941725    -5.596664     3.529512   -11.302399    -9.262916    -8.982180     6.660989     6.660989
  68     6.941725     6.941725    -5.596664     3.529512   -11.317368    -9.262916    -8.982180     6.660989     6.660989
  69     6.941725     6.941725    -5.596675     3.529513   -11.289861    -9.262916    -8.982180     6.660989     6.660989
  70     6.941725     6.941725    -5.596675     3.529511   -11.329841    -9.262916    -8.982180     6.660989     6.660989
  71     6.941761     6.941761    -5.066016     3.090364   -11.029833    -9.176321    -8.981465     6.746904     6.746904
  72     6.941761     6.941761    -5.066016     3.090364   -11.029628    -9.176321    -8.981465     6.746904     6.746904
  73     6.941781     6.941781    -5.596572     3.535216   -11.370699    -9.262996    -8.982102     6.660886     6.660886
  74     6.941781     6.941781    -5.596572     3.535216   -11.324770    -9.262996    -8.982102     6.660886     6.660886
  75     6.941786     6.941786    -5.596574     3.523704   -11.272216    -9.262996    -8.982102     6.660892     6.660892
  76     6.941786     6.941786    -5.596574     3.523704   -11.272584    -9.262996    -8.982102     6.660892     6.660892
  77     7.360109     7.360109    -5.372060     3.279495   -11.122331    -9.429747    -9.368055     7.298417     7.298417
  78     7.360109     7.360109    -5.372060     3.279495   -11.122352    -9.429747    -9.368055     7.298417     7.298417
  79     7.360115     7.360115    -5.372233     3.278351   -11.118031    -9.429747    -9.368054     7.298421     7.298421
  80     7.360115     7.360115    -5.372233     3.278351   -11.118477    -9.429747    -9.368054     7.298421     7.298421
  81     8.771271     8.771271    -6.284567     3.919419   -11.479160    -9.947866   -10.028434     8.851839     8.851839
  82     8.771271     8.771271    -6.284567     3.919419   -11.482370    -9.947866   -10.028434     8.851839     8.851839
  83     8.806610     8.806610    -5.891379     3.599909   -11.315695    -9.875160   -10.023085     8.954535     8.954535
  84     8.806610     8.806610    -5.891379     3.599909   -11.315840    -9.875160   -10.023085     8.954535     8.954535
  85     8.806630     8.806630    -6.617439     4.191992   -11.633997   -10.004225   -10.023704     8.826108     8.826108
  86     8.806630     8.806630    -6.617439     4.191989   -11.622865   -10.004225   -10.023704     8.826108     8.826108
  87     9.368973     9.368973    -4.221189     2.306101   -10.599161    -9.180381    -9.153915     9.342507     9.342507
  88     9.368973     9.368973    -4.221189     2.306101   -10.598982    -9.180381    -9.153915     9.342507     9.342507
