   n          Emf           Eo            X         SX-X           CH          Sig          Vxc         Eqp0         Eqp1
  20     3.381254     3.381254   -13.062026     5.136879   -10.775445   -14.706364   -10.577870    -0.747239    -0.747239
  21     3.381254     3.381254   -13.062025     5.144853   -10.898680   -14.706364   -10.577870    -0.747239    -0.747239
  22     3.381254     3.381254   -13.062025     5.143463   -10.863651   -14.706364   -10.577870    -0.747239    -0.747239
  23     3.381255     3.381255   -13.062025     5.136733   -10.802931   -14.706364   -10.577870    -0.747239    -0.747239
  24     3.381255     3.381255   -13.062025     5.135551   -10.793997   -14.706364   -10.577870    -0.747239    -0.747239
  25     3.381255     3.381255   -13.062025     5.135766   -10.794236   -14.706364   -10.577870    -0.747239    -0.747239
  26     3.381255     3.381255   -13.062025     5.137057   -10.811872   -14.706364   -10.577870    -0.747239    -0.747239
  27     6.210980     6.210980   -13.374233     4.837689    -9.981045   -15.361113   -11.303189     2.153056     2.153056
  28     6.210980     6.210980   -13.374233     4.837739    -9.944327   -15.361113   -11.303189     2.153056     2.153056
  29     6.259846     6.259846   -13.357997     4.826546    -9.967885   -15.355025   -11.300785     2.205606     2.205606
  30     6.259846     6.259846   -13.357997     4.826714    -9.935348   -15.355025   -11.300785     2.205606     2.205606
  31     6.259846     6.259846   -13.357997     4.826643    -9.988941   -15.355025   -11.300785     2.205606     2.205606
  32     6.259846     6.259846   -13.357998     4.826779    -9.901181   -15.355025   -11.300785     2.205606     2.205606
  33     6.942513     6.942513    -4.720459     2.931934    -9.697080    -8.304147    -8.981016     7.619383     7.619383
  34     6.942513     6.942513    -4.720459     2.932204    -9.655849    -8.304147    -8.981016     7.619383     7.619383
  35     6.942513     6.942513    -4.720458     2.932071    -9.725537    -8.304147    -8.981016     7.619383     7.619383
  36     6.942513     6.942513    -4.720458     2.932962    -9.675270    -8.304147    -8.981016     7.619383     7.619383
  37     6.942513     6.942513    -4.720459     2.931549    -9.677118    -8.304147    -8.981016     7.619383     7.619383
  38     6.942513     6.942513    -4.720459     2.931652    -9.694922    -8.304147    -8.981016     7.619383     7.619383
  39     6.942572     6.942572    -4.720451     2.924240    -9.590099    -8.304269    -8.980938     7.619240     7.619240
  40     6.942572     6.942572    -4.720451     2.924242    -9.580264    -8.304269    -8.980938     7.619240     7.619240
  41     6.942572     6.942572    -4.720452     2.936485    -9.763684    -8.304269    -8.980937     7.619240     7.619240
  42     6.942572     6.942572    -4.720451     2.936486    -9.757717    -8.304269    -8.980937     7.619240     7.619240
  43     6.942572     6.942572    -4.720451     2.934864    -9.634148    -8.304269    -8.980937     7.619240     7.619240
  44     6.942572     6.942572    -4.720451     2.934748    -9.787732    -8.304269    -8.980937     7.619240     7.619240
  45     8.772123     8.772123    -5.951902     3.780074    -9.880499    -9.016034   -10.028064     9.784153     9.784153
  46     8.772123     8.772123    -5.951903     3.780074    -9.847435    -9.016034   -10.028064     9.784153     9.784153
  47     8.807469     8.807469    -5.925578     3.759710    -9.875278    -9.007950   -10.023022     9.822541     9.822541
  48     8.807469     8.807469    -5.925578     3.759810    -9.830674    -9.007950   -10.023022     9.822541     9.822541
  49     8.807469     8.807469    -5.925578     3.761550    -9.842980    -9.007950   -10.023022     9.822541     9.822541
  50     8.807469     8.807469    -5.925578     3.761619    -9.878401    -9.007950   -10.023022     9.822541     9.822541
  51     9.557114     9.557114    -5.380177     2.621438    -9.923885    -9.779727   -10.931728    10.709116    10.709116
  52     9.557114     9.557114    -5.380177     2.621438    -9.868556    -9.779727   -10.931728    10.709116    10.709116
  53    13.991333    13.991333    -4.331966     2.406238    -8.437371    -8.730821   -10.052803    15.313315    15.313315
  54    13.991333    13.991333    -4.331966     2.405495    -8.445164    -8.730821   -10.052803    15.313315    15.313315
  55    13.991333    13.991333    -4.331966     2.405390    -8.448260    -8.730821   -10.052803    15.313315    15.313315
  56    13.991333    13.991333    -4.331966     2.405091    -8.433075    -8.730821   -10.052803    15.313315    15.313315
  57    14.171231    14.171231    -1.894236     0.380723    -7.555143    -7.527342    -7.732464    14.376353    14.376353
  58    14.171231    14.171231    -1.894236     0.380723    -7.553269    -7.527342    -7.732464    14.376353    14.376353
  59    16.342803    16.342803    -4.102653     1.923831    -9.137482    -9.188018   -10.553341    17.708126    17.708126
  60    16.342803    16.342803    -4.102653     1.931256    -9.141707    -9.188018   -10.553341    17.708126    17.708126
  61    16.342803    16.342803    -4.102653     1.928066    -9.146641    -9.188018   -10.553341    17.708126    17.708126
  62    16.342803    16.342803    -4.102653     1.914726    -9.079268    -9.188018   -10.553341    17.708126    17.708126
  63    16.342803    16.342803    -4.102653     1.907434    -9.069903    -9.188018   -10.553341    17.708126    17.708126
