   n          Emf           Eo            X         SX-X           CH          Sig          Vxc         Eqp0         Eqp1
   1    -5.733144    -5.733144   -18.731107     9.748196   -12.533882   -15.763852   -10.465365   -11.031630   -11.031630
   2    -5.733144    -5.733144   -18.731107     9.748196   -12.534271   -15.763852   -10.465365   -11.031630   -11.031630
   3    -1.589674    -1.589674   -16.001512     7.431887   -12.040135   -15.420764   -10.846676    -6.163762    -6.163762
   4    -1.589674    -1.589674   -16.001512     7.431969   -12.036132   -15.420764   -10.846676    -6.163762    -6.163762
   5    -1.589674    -1.589674   -16.001511     7.433388   -12.037540   -15.420764   -10.846676    -6.163762    -6.163762
   6    -1.589674    -1.589674   -16.001512     7.433769   -12.052154   -15.420764   -10.846676    -6.163762    -6.163762
   7    -1.589674    -1.589674   -16.001512     7.432417   -12.045078   -15.420764   -10.846676    -6.163762    -6.163762
   8    -1.589674    -1.589674   -16.001511     7.433058   -12.032276   -15.420764   -10.846676    -6.163762    -6.163762
   9    -1.589621    -1.589621   -16.001507     7.437326   -12.074708   -15.420781   -10.846631    -6.163770    -6.163770
  10    -1.589621    -1.589621   -16.001507     7.439964   -12.067081   -15.420781   -10.846631    -6.163770    -6.163770
  11    -1.589621    -1.589621   -16.001508     7.438104   -12.065826   -15.420781   -10.846631    -6.163770    -6.163770
  12    -1.589621    -1.589621   -16.001506     7.438939   -12.064595   -15.420781   -10.846631    -6.163770    -6.163770
  13    -1.589620    -1.589620   -16.001507     7.420148   -11.962708   -15.420781   -10.846631    -6.163770    -6.163770
  14    -1.589620    -1.589620   -16.001507     7.420142   -12.006449   -15.420781   -10.846631    -6.163770    -6.163770
  15     3.381254     3.381254   -13.062025     5.143253   -10.884078   -14.706364   -10.577870    -0.747239    -0.747239
  16     3.381254     3.381254   -13.062026     5.143296   -10.871642   -14.706364   -10.577870    -0.747239    -0.747239
  17     3.381254     3.381254   -13.062026     5.143507   -10.852132   -14.706364   -10.577870    -0.747239    -0.747239
  18     3.381254     3.381254   -13.062026     5.144214   -10.901624   -14.706364   -10.577870    -0.747239    -0.747239
  19     3.381254     3.381254   -13.062025     5.134303   -10.817056   -14.706364   -10.577870    -0.747239    -0.747239
